col0	No	種類	地域	市区町村コード	都道府県名	市区町村名	地区名	最寄駅：名称	最寄駅：距離（分）	取引価格（総額）	坪単価	間取り	面積（㎡）	取引価格（㎡単価）	土地の形状	間口	延床面積（㎡）	建築年	建物の構造	用途	今後の利用目的	前面道路：方位	前面道路：種類	前面道路：幅員（ｍ）	都市計画	建ぺい率（％）	容積率（％）	取引時点	改装	取引の事情等
4666	4667	宅地(土地)	住宅地	13112	東京都	世田谷区	太子堂	三軒茶屋	8	72000000	3700000.0		65	1100000.0	ほぼ整形	10.0					住宅	東	区道	4.4	第１種中高層住居専用地域	60.0	200.0	2021年第３四半期		私道を含む取引
4686	4687	宅地(土地)	住宅地	13115	東京都	杉並区	宮前	久我山	12	69000000	1800000.0		125	550000.0	長方形	7.3						東	区道	3.8	第１種低層住居専用地域	50.0	100.0	2021年第３四半期		
4687	4688	宅地(土地)	商業地	13115	東京都	杉並区	宮前	久我山	11	160000000	2200000.0		250	660000.0	長方形	18.0					住宅	南西	都道	15.0	準住居地域	60.0	200.0	2021年第３四半期		
4688	4689	宅地(土地)	住宅地	13115	東京都	杉並区	宮前	久我山	12	110000000	1800000.0		200	550000.0	長方形	11.5					住宅	南東	区道	4.0	第１種低層住居専用地域	50.0	100.0	2021年第３四半期		
4706	4707	宅地(土地)	住宅地	13112	東京都	世田谷区	玉川台	用賀	7	180000000	3600000.0		165	1100000.0	ほぼ整形	18.7					住宅	北	区道	11.3	第１種低層住居専用地域	50.0	100.0	2021年第４四半期		
4710	4711	宅地(土地)	住宅地	13115	東京都	杉並区	桃井	荻窪	14	41000000	2000000.0		70	590000.0	袋地等	2.5					住宅	東	私道	3.4	第１種低層住居専用地域	60.0	150.0	2021年第３四半期		私道を含む取引
4724	4725	宅地(土地)	住宅地	13112	東京都	世田谷区	千歳台	祖師ケ谷大蔵	19	55000000	1800000.0		100	550000.0	長方形	7.7					住宅	北	私道	5.0	第１種低層住居専用地域	50.0	100.0	2021年第４四半期		
4743	4744	宅地(土地)	住宅地	13112	東京都	世田谷区	弦巻	上町	10	100000000	2000000.0		170	610000.0	ほぼ長方形						住宅	北西	私道	4.0	第１種中高層住居専用地域	60.0	200.0	2021年第４四半期		私道を含む取引
4749	4750	宅地(土地)	住宅地	13112	東京都	世田谷区	弦巻	駒沢大学	13	72000000	3400000.0		70	1000000.0	長方形	5.6					住宅	北	区道	6.0	第１種低層住居専用地域	60.0	150.0	2021年第３四半期		
4757	4758	宅地(土地)	住宅地	13112	東京都	世田谷区	弦巻	世田谷	10	77000000	2600000.0		100	780000.0	長方形	6.9					住宅	南西	私道	4.0	第１種低層住居専用地域	50.0	100.0	2021年第３四半期		
4759	4760	宅地(土地)	住宅地	13112	東京都	世田谷区	等々力	尾山台	5	90000000	2100000.0		140	640000.0	不整形	2.8					住宅	西	区道	3.8	第１種低層住居専用地域	50.0	100.0	2021年第４四半期		
