col0	No	種類	地域	市区町村コード	都道府県名	市区町村名	地区名	最寄駅：名称	最寄駅：距離（分）	取引価格（総額）	坪単価	間取り	面積（㎡）	取引価格（㎡単価）	土地の形状	間口	延床面積（㎡）	建築年	建物の構造	用途	今後の利用目的	前面道路：方位	前面道路：種類	前面道路：幅員（ｍ）	都市計画	建ぺい率（％）	容積率（％）	取引時点	改装	取引の事情等
39	40	宅地(土地)	商業地	13102	東京都	中央区	新川	茅場町	4	570000000	9800000.0		190	3000000.0	ほぼ長方形	13.0					事務所	北東	区道	8.0	商業地域	80.0	700.0	2021年第３四半期		
56	57	宅地(土地)	住宅地	13102	東京都	中央区	月島	月島	3	54000000	3100000.0		60	930000.0	ほぼ長方形	6.0					住宅	北東	私道	2.7	第２種住居地域	80.0	400.0	2021年第３四半期		私道を含む取引
119	120	宅地(土地)	商業地	13103	東京都	港区	赤坂	赤坂(東京)	1	1300000000	34000000.0		125	10000000.0	長方形	7.5					その他	南東	都道	15.0	商業地域	80.0	600.0	2021年第３四半期		
141	142	宅地(土地)	商業地	13103	東京都	港区	芝	三田(東京)	4	840000000	22000000.0		130	6500000.0	長方形	6.5						北	区道	10.4	商業地域	80.0	500.0	2021年第３四半期		
161	162	宅地(土地)	住宅地	13103	東京都	港区	白金	白金高輪	11	73000000	5300000.0		45	1600000.0	ほぼ整形	4.6					住宅	東	区道	4.0	第１種中高層住居専用地域	60.0	300.0	2021年第３四半期		
199	200	宅地(土地)	商業地	13103	東京都	港区	東新橋	汐留	3	420000000	18000000.0		75	5500000.0	不整形	7.9					事務所	北西	区道	12.0	商業地域	80.0	700.0	2021年第３四半期		
224	225	宅地(土地)	住宅地	13104	東京都	新宿区	愛住町	四谷三丁目	1	90000000	4500000.0		65	1400000.0	ほぼ正方形	8.2					住宅	西	区道	5.5	第１種住居地域	60.0	400.0	2021年第３四半期		
236	237	宅地(土地)	住宅地	13104	東京都	新宿区	大久保	東新宿	7	28000000	2500000.0		35	750000.0	ほぼ長方形	4.1					住宅	南	私道	4.0	第１種中高層住居専用地域	60.0	300.0	2021年第３四半期		私道を含む取引
250	251	宅地(土地)	住宅地	13104	東京都	新宿区	河田町	若松河田	4	87000000	2700000.0		105	830000.0	不整形	3.0					住宅	北	区道	3.1	第１種中高層住居専用地域	60.0	300.0	2021年第３四半期		
284	285	宅地(土地)	住宅地	13104	東京都	新宿区	水道町	神楽坂	5	75000000	4100000.0		60	1200000.0	長方形	4.4					住宅	西	私道	3.0	準工業地域	60.0	300.0	2021年第３四半期		私道を含む取引
285	286	宅地(土地)	住宅地	13104	東京都	新宿区	須賀町	四谷三丁目	5	110000000	4600000.0		75	1400000.0	ほぼ長方形	4.1					住宅	西	区道	4.9	第１種住居地域	60.0	300.0	2021年第３四半期		
286	287	宅地(土地)	住宅地	13104	東京都	新宿区	須賀町	四谷三丁目	5	76000000	5300000.0		45	1600000.0	長方形	4.3					住宅	南	私道	4.0	第１種住居地域	60.0	300.0	2021年第３四半期		
287	288	宅地(土地)	住宅地	13104	東京都	新宿区	須賀町	四谷三丁目	6	75000000	5100000.0		50	1500000.0	ほぼ長方形	4.5					住宅	南	私道	4.0	第１種住居地域	60.0	300.0	2021年第３四半期		
303	304	宅地(土地)	住宅地	13104	東京都	新宿区	富久町	若松河田	7	500000000	2900000.0		570	870000.0	ほぼ長方形	13.5					その他	北東	区道	4.5	第１種中高層住居専用地域	60.0	300.0	2021年第３四半期		
311	312	宅地(土地)	住宅地	13104	東京都	新宿区	中落合	下落合	8	100000000	2100000.0		165	630000.0	ほぼ長方形	9.7					その他	南	区道	3.5	第１種中高層住居専用地域	60.0	200.0	2021年第３四半期		
330	331	宅地(土地)	住宅地	13104	東京都	新宿区	西落合	東長崎	8	110000000	1900000.0		200	560000.0	長方形	13.2						南	区道	6.2	第１種低層住居専用地域	50.0	100.0	2021年第３四半期		
359	360	宅地(土地)	商業地	13101	東京都	千代田区	岩本町	岩本町	3	380000000	13000000.0		95	4000000.0	ほぼ整形	7.0						南	都道	35.9	商業地域	80.0	700.0	2021年第３四半期		
389	390	宅地(土地)	住宅地	13104	東京都	新宿区	百人町	新大久保	4	94000000	3100000.0		100	930000.0	ほぼ長方形	8.0					住宅	東	区道	4.0	第１種住居地域	60.0	300.0	2021年第３四半期		私道を含む取引
419	420	宅地(土地)	住宅地	13104	東京都	新宿区	若葉	四ツ谷	5	230000000	4400000.0		170	1300000.0	不整形	9.1						南	区道	2.7	第１種住居地域	60.0	300.0	2021年第３四半期		
420	421	宅地(土地)	商業地	13104	東京都	新宿区	若松町	若松河田	3	140000000	4400000.0		100	1300000.0	台形	5.0					事務所	南西	都道	15.5	商業地域	80.0	500.0	2021年第３四半期		
487	488	宅地(土地)	商業地	13102	東京都	中央区	築地	築地		120000000	9500000.0		40	2900000.0	長方形	4.2					事務所	南西	区道	15.0	商業地域	80.0	700.0	2021年第４四半期		
509	510	宅地(土地)	住宅地	13102	東京都	中央区	月島	月島	5	160000000	6200000.0		85	1900000.0	ほぼ正方形	8.5					店舗	南東	区道	5.5	第２種住居地域	80.0	400.0	2021年第３四半期		
544	545	宅地(土地)	住宅地	13105	東京都	文京区	千駄木	本駒込	6	120000000	4600000.0		90	1400000.0	ほぼ長方形	5.3					住宅	南西	区道	4.5	第１種中高層住居専用地域	60.0	200.0	2021年第３四半期		
545	546	宅地(土地)	住宅地	13105	東京都	文京区	千駄木	本駒込	7	23000000	1800000.0		40	560000.0	台形	7.0					その他	北西	区道	2.5	第１種中高層住居専用地域	60.0	200.0	2021年第３四半期		
574	575	宅地(土地)	商業地	13102	東京都	中央区	日本橋馬喰町	馬喰町	1	1000000000	15000000.0		230	4400000.0	長方形	10.4					住宅	南	都道	36.0	商業地域	80.0	700.0	2021年第３四半期		
581	582	宅地(土地)	商業地	13105	東京都	文京区	本郷	本郷三丁目	6	170000000	7200000.0		80	2200000.0	ほぼ長方形	6.5					その他	北	区道	7.9	近隣商業地域	80.0	400.0	2021年第３四半期		
582	583	宅地(土地)	商業地	13105	東京都	文京区	本郷	本郷三丁目	2	640000000	12000000.0		175	3600000.0	ほぼ整形	8.1					住宅	東	国道	21.8	商業地域	80.0	600.0	2021年第３四半期		
613	614	宅地(土地)	商業地	13102	東京都	中央区	日本橋堀留町	人形町	4	480000000	11000000.0		150	3200000.0	不整形	11.4					住宅	南西	区道	8.0	商業地域	80.0	600.0	2021年第３四半期		
619	620	宅地(土地)	商業地	13102	東京都	中央区	八丁堀	宝町(東京)	2	76000000	5700000.0		45	1700000.0	長方形	3.9					その他	南東	区道	8.0	商業地域	80.0	600.0	2021年第３四半期		
620	621	宅地(土地)	商業地	13102	東京都	中央区	八丁堀	宝町(東京)	2	74000000	5700000.0		45	1700000.0	長方形	3.8					その他	南東	区道	8.0	商業地域	80.0	600.0	2021年第３四半期		
653	654	宅地(土地)	商業地	13106	東京都	台東区	浅草橋	浅草橋	7	130000000	5700000.0		75	1700000.0	ほぼ台形	6.2					住宅	西	都道	27.0	商業地域	80.0	600.0	2021年第３四半期		
737	738	宅地(土地)	工業地	13103	東京都	港区	港南	天王洲アイル	11	3600000000	5700000.0		2000㎡以上	1700000.0	長方形	40.0					その他	西	都道	40.0	準工業地域	60.0	400.0	2021年第４四半期		隣地の購入
772	773	宅地(土地)	商業地	13106	東京都	台東区	台東	秋葉原	6	180000000	5800000.0		100	1700000.0	ほぼ長方形	7.9					その他	西	区道	6.0	商業地域	80.0	500.0	2021年第３四半期		隣地の購入
820	821	宅地(土地)	商業地	13106	東京都	台東区	日本堤	三ノ輪	13	300000000	2600000.0		380	780000.0	ほぼ長方形	26.0					住宅	南	区道	6.0	近隣商業地域	80.0	400.0	2021年第３四半期		
826	827	宅地(土地)	住宅地	13106	東京都	台東区	根岸	鶯谷	3	50000000	3100000.0		55	940000.0	不整形	2.3					住宅	南東	区道	4.0	第１種住居地域	60.0	300.0	2021年第３四半期		
848	849	宅地(土地)	商業地	13106	東京都	台東区	東浅草	三ノ輪	14	140000000	2000000.0		230	610000.0	ほぼ台形	22.0					住宅	西	区道	6.0	近隣商業地域	80.0	400.0	2021年第３四半期		
858	859	宅地(土地)	商業地	13106	東京都	台東区	松が谷	浅草(つくばＥＸＰ)	7	58000000	2900000.0		65	880000.0	ほぼ長方形	6.0					住宅	東	区道	4.0	商業地域	80.0	500.0	2021年第３四半期		
863	864	宅地(土地)	住宅地	13103	東京都	港区	白金台	白金台	2	140000000	6200000.0		70	1900000.0	不整形	6.0					住宅	東	私道	1.8	第１種中高層住居専用地域	60.0	300.0	2021年第３四半期		
881	882	宅地(土地)	住宅地	13103	東京都	港区	高輪	品川	9	1100000000	7500000.0		480	2300000.0	ほぼ台形	23.7						東	区道	7.2	第１種中高層住居専用地域	60.0	200.0	2021年第４四半期		
957	958	宅地(土地)	商業地	13103	東京都	港区	浜松町	浜松町	3	90000000	7900000.0		35	2400000.0	ほぼ長方形	4.0					その他	西	区道	8.1	商業地域	80.0	600.0	2021年第４四半期		
969	970	宅地(土地)	住宅地	13107	東京都	墨田区	菊川	菊川(東京)	3	52000000	3000000.0		55	920000.0	長方形	4.3					住宅	北	区道	6.1	準工業地域	60.0	300.0	2021年第３四半期		
999	1000	宅地(土地)	住宅地	13103	東京都	港区	三田	三田(東京)	7	230000000	4500000.0		170	1300000.0	ほぼ長方形	16.3					住宅	北	私道	4.5	近隣商業地域	80.0	400.0	2021年第４四半期		私道を含む取引
1009	1010	宅地(土地)	住宅地	13103	東京都	港区	南青山	表参道	9	430000000	5400000.0		260	1600000.0	ほぼ正方形	16.0					住宅	北西	区道	3.5	第１種中高層住居専用地域	60.0	300.0	2021年第３四半期		私道を含む取引
1027	1028	宅地(土地)	住宅地	13103	東京都	港区	南青山	乃木坂	9	800000000	6900000.0		380	2100000.0	ほぼ長方形	12.6					その他	北東	私道	4.5	第２種中高層住居専用地域	60.0	200.0	2021年第３四半期		
1049	1050	宅地(土地)	住宅地	13107	東京都	墨田区	立川	菊川(東京)	5	48000000	3000000.0		50	910000.0	ほぼ正方形	7.2					住宅	北	区道	6.0	準工業地域	60.0	300.0	2021年第３四半期		
1070	1071	宅地(土地)	住宅地	13104	東京都	新宿区	愛住町	四谷三丁目	2	160000000	3300000.0		155	1000000.0	不整形	7.5					その他	西	区道	5.5	第１種住居地域	60.0	400.0	2021年第３四半期		
1077	1078	宅地(土地)	住宅地	13107	東京都	墨田区	東駒形	本所吾妻橋	6	200000000	3900000.0		170	1200000.0	長方形	8.1					事務所	東	区道	11.0	準工業地域	60.0	300.0	2021年第３四半期		隣地の購入
1084	1085	宅地(土地)	住宅地	13107	東京都	墨田区	東墨田	八広	13	130000000	740000.0		560	220000.0	不整形	14.8					事務所	東	私道	3.9	工業地域	60.0	200.0	2021年第３四半期		
1111	1112	宅地(土地)	住宅地	13107	東京都	墨田区	東向島	曳舟	10	50000000	1200000.0		130	380000.0	不整形	3.9						南東	区道	6.4	準工業地域	80.0	400.0	2021年第３四半期		
1137	1138	宅地(土地)	住宅地	13104	東京都	新宿区	上落合	中井	4	37000000	2300000.0		50	700000.0	台形	5.0					住宅	北西	区道	4.5	第１種住居地域	60.0	300.0	2021年第４四半期		
1152	1153	宅地(土地)	住宅地	13104	東京都	新宿区	北新宿	大久保(東京)	7	32000000	670000.0		160	200000.0	ほぼ長方形	9.6					住宅	南東	私道		第１種中高層住居専用地域	60.0	300.0	2021年第３四半期		
1158	1159	宅地(土地)	商業地	13107	東京都	墨田区	緑	両国	6	460000000	6500000.0		240	2000000.0	ほぼ長方形	10.4					住宅	北	区道	11.0	商業地域	80.0	400.0	2021年第３四半期		
1167	1168	宅地(土地)	住宅地	13104	東京都	新宿区	北新宿	中野坂上	7	77000000	3400000.0		75	1000000.0	ほぼ長方形	8.2						南西	区道	10.0	第１種住居地域	60.0	300.0	2021年第３四半期		
1173	1174	宅地(土地)	住宅地	13107	東京都	墨田区	向島	とうきょうスカイツリー	6	61000000	2500000.0		80	750000.0	長方形	6.5					住宅	北東	区道	8.0	準工業地域	60.0	300.0	2021年第３四半期		
1182	1183	宅地(土地)	商業地	13107	東京都	墨田区	向島	曳舟	10	100000000	3200000.0		105	970000.0	不整形	21.0					住宅	東	区道	8.0	商業地域	80.0	400.0	2021年第３四半期		
1186	1187	宅地(土地)	住宅地	13104	東京都	新宿区	左門町	四谷三丁目	3	120000000	4400000.0		90	1300000.0	長方形						住宅	南	私道		第１種住居地域	60.0	300.0	2021年第３四半期		
1188	1189	宅地(土地)	住宅地	13107	東京都	墨田区	八広	京成曳舟	8	19000000	1200000.0		50	370000.0	長方形	5.4					住宅	西	私道	4.0	準工業地域	80.0	200.0	2021年第３四半期		私道を含む取引
1192	1193	宅地(土地)	住宅地	13104	東京都	新宿区	下落合	椎名町	9	63000000	3800000.0		55	1100000.0	長方形	5.3					住宅	北	区道	3.8	第１種低層住居専用地域	60.0	150.0	2021年第４四半期		
1266	1267	宅地(土地)	住宅地	13104	東京都	新宿区	高田馬場	高田馬場	6	77000000	4200000.0		60	1300000.0	ほぼ台形	5.0					住宅	東	区道	3.7	第１種中高層住居専用地域	60.0	300.0	2021年第４四半期		私道を含む取引
1271	1272	宅地(土地)	住宅地	13104	東京都	新宿区	高田馬場	高田馬場	4	68000000	2600000.0		85	790000.0	ほぼ正方形	9.4					住宅	北西	私道	1.7	近隣商業地域	80.0	400.0	2021年第３四半期		
1281	1282	宅地(土地)	住宅地	13104	東京都	新宿区	箪笥町	牛込神楽坂	3	66000000	4500000.0		50	1400000.0	長方形	5.4					住宅	北	私道	3.8	商業地域	80.0	500.0	2021年第４四半期		
1283	1284	宅地(土地)	住宅地	13104	東京都	新宿区	築地町	神楽坂	4	160000000	5600000.0		95	1700000.0	ほぼ長方形	8.8					住宅	東	区道	8.0	準工業地域	60.0	300.0	2021年第４四半期		
1293	1294	宅地(土地)	住宅地	13104	東京都	新宿区	富久町	曙橋	9	66000000	3500000.0		60	1100000.0	ほぼ正方形	7.2					住宅	南東	区道	10.9	第１種中高層住居専用地域	60.0	300.0	2021年第３四半期		私道を含む取引
1326	1327	宅地(土地)	住宅地	13108	東京都	江東区	亀戸	亀戸	4	66000000	3200000.0		70	970000.0	ほぼ長方形	7.1					住宅	西	区道	5.4	第１種住居地域	60.0	300.0	2021年第３四半期		
1327	1328	宅地(土地)	住宅地	13108	東京都	江東区	亀戸	亀戸	7	52000000	3800000.0		45	1200000.0	長方形	4.8					住宅	西	区道	7.9	近隣商業地域	80.0	300.0	2021年第３四半期		
1353	1354	宅地(土地)	住宅地	13104	東京都	新宿区	西落合	落合南長崎	7	35000000	2300000.0		50	690000.0	ほぼ長方形	6.1						北	私道	4.0	準工業地域	60.0	200.0	2021年第４四半期		
1358	1359	宅地(土地)	住宅地	13104	東京都	新宿区	西落合	落合南長崎	4	79000000	2500000.0		105	750000.0	ほぼ整形	4.8					住宅	北	私道	4.5	第１種低層住居専用地域	50.0	100.0	2021年第３四半期		
1397	1398	宅地(土地)	住宅地	13104	東京都	新宿区	西新宿	西新宿五丁目	2	82000000	2400000.0		115	720000.0	不整形	7.0					その他	北西	区道	4.2	第２種住居地域	60.0	300.0	2021年第４四半期		
1419	1420	宅地(土地)	住宅地	13108	東京都	江東区	北砂	大島(東京)	11	3000000	140000.0		70	41000.0	ほぼ長方形	2.5					その他	接面道路無			第１種住居地域	60.0	300.0	2021年第３四半期		
1425	1426	宅地(土地)	住宅地	13104	東京都	新宿区	二十騎町	牛込神楽坂	5	180000000	4700000.0		125	1400000.0	ほぼ長方形	6.3					住宅	北	区道	3.7	第１種住居地域	60.0	300.0	2021年第４四半期		
1432	1433	宅地(土地)	住宅地	13104	東京都	新宿区	西早稲田	西早稲田	5	130000000	2500000.0		170	760000.0	不整形						住宅	東	区道	6.9	第１種中高層住居専用地域	60.0	300.0	2021年第４四半期		
1454	1455	宅地(土地)	商業地	13104	東京都	新宿区	百人町	大久保(東京)	2	280000000	5400000.0		175	1600000.0	長方形	14.5					住宅	西	区道	5.4	近隣商業地域	80.0	300.0	2021年第３四半期		私道を含む取引
1504	1505	宅地(土地)	住宅地	13108	東京都	江東区	新大橋	森下(東京)	2	40000000	3700000.0		35	1100000.0	長方形	4.1						北	区道	6.0	準工業地域	60.0	400.0	2021年第３四半期		
1530	1531	宅地(土地)	住宅地	13105	東京都	文京区	大塚	新大塚	5	91000000	5100000.0		60	1600000.0	不整形	5.1					住宅	西	区道	10.7	準工業地域	60.0	300.0	2021年第４四半期		
1539	1540	宅地(土地)	商業地	13108	東京都	江東区	東陽	木場	4	150000000	3100000.0		160	930000.0	不整形	10.0					その他	東	区道	15.0	近隣商業地域	80.0	300.0	2021年第３四半期		
1541	1542	宅地(土地)	商業地	13108	東京都	江東区	東陽	木場	4	220000000	4600000.0		160	1400000.0	不整形	9.8					住宅	東	区道	15.0	近隣商業地域	80.0	300.0	2021年第３四半期		
1597	1598	宅地(土地)	住宅地	13105	東京都	文京区	小石川	後楽園	13	150000000	4700000.0		105	1400000.0	ほぼ長方形	7.6					住宅	北東	区道	4.1	第１種中高層住居専用地域	60.0	300.0	2021年第４四半期		
1642	1643	宅地(土地)	住宅地	13105	東京都	文京区	千石	千石	12	88000000	3700000.0		80	1100000.0	ほぼ長方形	6.8					住宅	北西	私道	4.5	第１種低層住居専用地域	60.0	150.0	2021年第３四半期		
1652	1653	宅地(土地)	住宅地	13108	東京都	江東区	福住	清澄白河	8	56000000	1700000.0		110	510000.0	ほぼ長方形	9.6						北西	私道	4.0	準工業地域	60.0	300.0	2021年第３四半期		私道を含む取引
1653	1654	宅地(土地)	住宅地	13108	東京都	江東区	福住	清澄白河	9	53000000	3200000.0		55	970000.0	長方形	5.0					住宅	北西	区道	11.0	準工業地域	60.0	300.0	2021年第３四半期		
1655	1656	宅地(土地)	住宅地	13105	東京都	文京区	千駄木	千駄木	4	86000000	3000000.0		95	900000.0	不整形	8.5					住宅	北	区道	4.3	第１種中高層住居専用地域	60.0	300.0	2021年第４四半期		
1687	1688	宅地(土地)	住宅地	13105	東京都	文京区	根津	根津	3	130000000	4800000.0		85	1500000.0	ほぼ長方形	9.6					住宅	南東	区道	4.5	近隣商業地域	80.0	300.0	2021年第３四半期		
1693	1694	宅地(土地)	住宅地	13108	東京都	江東区	三好	清澄白河	12	140000000	1200000.0		380	370000.0	ほぼ長方形	12.0					住宅	東	区道	8.2	準工業地域	60.0	300.0	2021年第３四半期		
1707	1708	宅地(土地)	住宅地	13105	東京都	文京区	白山	白山(東京)	6	99000000	4300000.0		75	1300000.0	長方形	5.0					住宅	南東	私道	4.0	第１種住居地域	60.0	300.0	2021年第３四半期		
1739	1740	宅地(土地)	住宅地	13105	東京都	文京区	本郷	本郷三丁目	4	110000000	5700000.0		65	1700000.0	ほぼ長方形	5.6					住宅	東	区道	3.3	第１種住居地域	60.0	300.0	2021年第３四半期		私道を含む取引
1754	1755	宅地(土地)	商業地	13105	東京都	文京区	本駒込	駒込	10	170000000	4200000.0		130	1300000.0	台形	11.7					住宅	南	都道	16.0	商業地域	80.0	600.0	2021年第３四半期		
1761	1762	宅地(土地)	商業地	13105	東京都	文京区	本駒込	千石	4	95000000	5400000.0		60	1600000.0	ほぼ整形	11.1					住宅	南東	都道	16.5	商業地域	80.0	400.0	2021年第４四半期		
1772	1773	宅地(土地)	住宅地	13105	東京都	文京区	本駒込	本駒込	2	67000000	4200000.0		55	1300000.0	ほぼ正方形	7.5					住宅	北東	私道	3.3	第１種中高層住居専用地域	60.0	200.0	2021年第３四半期		
1777	1778	宅地(土地)	住宅地	13109	東京都	品川区	大崎	五反田	5	82000000	3500000.0		75	1100000.0	ほぼ長方形	7.5					住宅	南西	私道	3.0	第１種住居地域	60.0	300.0	2021年第３四半期		
1781	1782	宅地(土地)	住宅地	13105	東京都	文京区	向丘	白山(東京)	5	72000000	3500000.0		65	1100000.0	ほぼ長方形						住宅	南東	私道	4.0	第１種住居地域	60.0	300.0	2021年第３四半期		
1783	1784	宅地(土地)	住宅地	13105	東京都	文京区	向丘	本駒込	8	74000000	1900000.0		130	580000.0	ほぼ長方形						住宅	南東	私道	1.8	第１種中高層住居専用地域	60.0	200.0	2021年第４四半期		私道を含む取引
1785	1786	宅地(土地)	住宅地	13105	東京都	文京区	向丘	本駒込	7	380000000	3200000.0		400	960000.0	ほぼ長方形	14.2					住宅	北東	区道	3.3	第１種中高層住居専用地域	60.0	200.0	2021年第３四半期		私道を含む取引
1798	1799	宅地(土地)	住宅地	13105	東京都	文京区	目白台	護国寺	6	140000000	2900000.0		165	870000.0	不整形	12.3					住宅	東	私道	3.0	第１種中高層住居専用地域	60.0	300.0	2021年第３四半期		私道を含む取引
1808	1809	宅地(土地)	商業地	13105	東京都	文京区	湯島	御茶ノ水	4	160000000	6500000.0		80	2000000.0	ほぼ長方形	5.2					その他	南西	国道	22.0	商業地域	80.0	600.0	2021年第３四半期		
1824	1825	宅地(土地)	住宅地	13109	東京都	品川区	小山	西小山	5	80000000	3900000.0		70	1200000.0	長方形	7.5					店舗	北西	区道	6.0	第１種住居地域	60.0	300.0	2021年第３四半期		
1860	1861	宅地(土地)	商業地	13106	東京都	台東区	上野	湯島	2	160000000	6700000.0		80	2000000.0	長方形	7.9						北	区道	11.8	商業地域	80.0	600.0	2021年第３四半期		
1885	1886	宅地(土地)	住宅地	13109	東京都	品川区	西五反田	不動前	3	180000000	4500000.0		135	1400000.0	長方形	8.0					住宅	南東	区道	15.0	商業地域	80.0	500.0	2021年第３四半期		
1904	1905	宅地(土地)	住宅地	13109	東京都	品川区	西品川	大崎	10	100000000	4200000.0		80	1300000.0	ほぼ長方形	6.0					住宅	北	区道	8.0	準工業地域	60.0	200.0	2021年第３四半期		
1907	1908	宅地(土地)	商業地	13106	東京都	台東区	千束	浅草(つくばＥＸＰ)	7	95000000	3100000.0		100	950000.0	不整形	8.0					住宅	西	区道	15.0	商業地域	80.0	400.0	2021年第４四半期		
1924	1925	宅地(土地)	商業地	13106	東京都	台東区	西浅草	浅草(つくばＥＸＰ)	5	38000000	2800000.0		45	840000.0	ほぼ長方形	5.5					その他	南	区道	8.0	商業地域	80.0	600.0	2021年第４四半期		
1942	1943	宅地(土地)	商業地	13106	東京都	台東区	日本堤	南千住	9	60000000	2600000.0		75	790000.0	ほぼ長方形	7.5					住宅	南東	区道	15.0	商業地域	80.0	500.0	2021年第４四半期		
1976	1977	宅地(土地)	商業地	13106	東京都	台東区	東上野	仲御徒町	4	730000000	10000000.0		230	3100000.0	不整形	8.5					事務所	南	都道	22.0	商業地域	80.0	600.0	2021年第４四半期		
1985	1986	宅地(土地)	住宅地	13109	東京都	品川区	二葉	中延	4	45000000	1800000.0		80	550000.0	ほぼ長方形	7.6					住宅	東	私道	4.0	準工業地域	60.0	200.0	2021年第３四半期		私道を含む取引
2027	2028	宅地(土地)	商業地	13107	東京都	墨田区	吾妻橋	本所吾妻橋	3	300000000	6000000.0		165	1800000.0	ほぼ長方形	8.3					住宅	北	都道	33.0	商業地域	80.0	500.0	2021年第３四半期		私道を含む取引
2055	2056	宅地(土地)	住宅地	13107	東京都	墨田区	押上	押上	6	61000000	3100000.0		65	930000.0	ほぼ長方形	6.5						北西	区道	4.0	準工業地域	80.0	200.0	2021年第３四半期		私道を含む取引
2097	2098	宅地(土地)	住宅地	13110	東京都	目黒区	柿の木坂	学芸大学	14	76000000	3500000.0		70	1100000.0	長方形	10.0					住宅	南東	区道	5.5	第１種低層住居専用地域	60.0	150.0	2021年第３四半期		
2103	2104	宅地(土地)	商業地	13107	東京都	墨田区	錦糸	錦糸町	5	80000000	8000000.0		35	2400000.0	長方形	4.0					住宅	北	区道	10.9	商業地域	80.0	500.0	2021年第４四半期		
2107	2108	宅地(土地)	商業地	13107	東京都	墨田区	錦糸	錦糸町	3	140000000	7000000.0		65	2100000.0	長方形	6.5					店舗	西	区道	7.9	商業地域	80.0	500.0	2021年第３四半期		
2136	2137	宅地(土地)	住宅地	13107	東京都	墨田区	墨田	鐘ケ淵	5	30000000	1600000.0		65	480000.0	袋地等	2.0					住宅	南西	区道	4.7	近隣商業地域	80.0	300.0	2021年第４四半期		
2138	2139	宅地(土地)	住宅地	13107	東京都	墨田区	墨田	鐘ケ淵	5	31000000	2700000.0		40	810000.0	台形	4.7					住宅	南東	区道	4.7	近隣商業地域	80.0	300.0	2021年第４四半期		
2147	2148	宅地(土地)	住宅地	13107	東京都	墨田区	墨田	鐘ケ淵	4	9000000	730000.0		40	220000.0	ほぼ長方形	5.0					住宅	北	私道	3.3	準工業地域	80.0	200.0	2021年第３四半期		
2153	2154	宅地(土地)	住宅地	13110	東京都	目黒区	駒場	駒場東大前	7	80000000	4100000.0		65	1200000.0	ほぼ長方形	4.0						南	私道	3.3	第１種中高層住居専用地域	60.0	200.0	2021年第３四半期		私道を含む取引
2156	2157	宅地(土地)	住宅地	13107	東京都	墨田区	墨田	八広	8	98000000	1200000.0		270	360000.0	ほぼ長方形	13.8						東	私道	2.6	準工業地域	80.0	200.0	2021年第４四半期		
2162	2163	宅地(土地)	住宅地	13110	東京都	目黒区	下目黒	目黒	6	350000000	4200000.0		280	1300000.0	不整形	9.5					その他	南東	区道	5.5	準工業地域	60.0	300.0	2021年第３四半期		
2171	2172	宅地(土地)	住宅地	13107	東京都	墨田区	立花	小村井	1	44000000	1600000.0		90	500000.0	長方形	8.6					住宅	南東	私道	3.2	商業地域	80.0	400.0	2021年第３四半期		
2175	2176	宅地(土地)	住宅地	13110	東京都	目黒区	自由が丘	自由が丘(東京)	8	300000000	4700000.0		210	1400000.0	長方形	13.0					住宅	北	区道	5.3	第１種低層住居専用地域	60.0	150.0	2021年第３四半期		
2182	2183	宅地(土地)	商業地	13110	東京都	目黒区	洗足	西小山	5	30000000	2800000.0		35	830000.0	ほぼ長方形	4.0						南東	区道	7.2	近隣商業地域	80.0	300.0	2021年第３四半期		
2223	2224	宅地(土地)	住宅地	13107	東京都	墨田区	東向島	東向島	3	12000000	960000.0		40	290000.0	ほぼ長方形	6.5					その他	南	私道	2.8	近隣商業地域	80.0	300.0	2021年第４四半期		私道を含む取引
2242	2243	宅地(土地)	住宅地	13110	東京都	目黒区	原町	洗足	9	57000000	2800000.0		65	850000.0	不整形	2.0					住宅	北	区道	4.4	第１種住居地域	60.0	200.0	2021年第３四半期		
2247	2248	宅地(土地)	住宅地	13110	東京都	目黒区	碑文谷	学芸大学	1H30?2H	110000000	3600000.0		100	1100000.0	台形	9.2					住宅	西	区道	7.3	準工業地域	60.0	300.0	2021年第３四半期		
2296	2297	宅地(土地)	商業地	13107	東京都	墨田区	緑	両国	10	150000000	4600000.0		110	1400000.0	長方形	6.8					住宅	北	区道	8.0	商業地域	80.0	500.0	2021年第３四半期		
2333	2334	宅地(土地)	住宅地	13107	東京都	墨田区	八広	京成曳舟	8	12000000	1100000.0		35	330000.0	ほぼ長方形	4.4					住宅	南東	私道	4.0	準工業地域	80.0	200.0	2021年第３四半期		私道を含む取引
2338	2339	宅地(土地)	住宅地	13107	東京都	墨田区	横網	両国	4	140000000	4200000.0		110	1300000.0	不整形	10.5					住宅	南東	区道	14.9	第１種住居地域	60.0	200.0	2021年第４四半期		
2340	2341	宅地(土地)	住宅地	13107	東京都	墨田区	横川	押上	9	440000000	1800000.0		800	550000.0	不整形	12.8					その他	南	区道	14.4	第１種住居地域	60.0	300.0	2021年第４四半期		
2397	2398	宅地(土地)	住宅地	13108	東京都	江東区	枝川	豊洲	11	200000000	2700000.0		240	830000.0	不整形	11.0					住宅	北東	区道	21.6	準工業地域	60.0	300.0	2021年第３四半期		
