"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","13101","東京都","千代田区","一番町","半蔵門","2",130000000,"","２ＬＤＫ","85",,"","","","平成13年","ＳＲＣ","住宅","住宅","","",,"第２種住居地域",80,500,"2021年第３四半期","未改装",""
2,"宅地(土地と建物)","商業地","13101","東京都","千代田区","岩本町","岩本町","2",500000000,"","","110",,"長方形","5.9","750","平成21年","鉄骨造","共同住宅、事務所","事務所","南","区道",15.0,"商業地域",80,500,"2021年第３四半期","",""
3,"中古マンション等","","13101","東京都","千代田区","岩本町","岩本町","4",34000000,"","１ＬＤＫ","35",,"","","","平成12年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","",""
4,"中古マンション等","","13101","東京都","千代田区","岩本町","岩本町","2",29000000,"","１Ｋ","20",,"","","","平成18年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,700,"2021年第３四半期","未改装",""
5,"中古マンション等","","13101","東京都","千代田区","岩本町","岩本町","4",42000000,"","１ＤＫ","30",,"","","","平成30年","ＲＣ","","住宅","","",,"商業地域",80,600,"2021年第３四半期","未改装",""
6,"中古マンション等","","13101","東京都","千代田区","岩本町","岩本町","4",29000000,"","１Ｋ","30",,"","","","平成12年","ＳＲＣ","","事務所","","",,"商業地域",80,600,"2021年第３四半期","未改装",""
7,"中古マンション等","","13101","東京都","千代田区","岩本町","岩本町","2",30000000,"","１Ｋ","20",,"","","","平成18年","ＳＲＣ","住宅","その他","","",,"商業地域",80,700,"2021年第３四半期","未改装",""
8,"中古マンション等","","13101","東京都","千代田区","岩本町","神田(東京)","6",31000000,"","１Ｋ","25",,"","","","平成26年","ＲＣ","","住宅","","",,"商業地域",80,600,"2021年第３四半期","",""
9,"宅地(土地と建物)","商業地","13101","東京都","千代田区","岩本町","小伝馬町","4",200000000,"","","75",,"長方形","7.1","240","昭和45年","ＲＣ","その他","店舗","北西","区道",8.0,"商業地域",80,600,"2021年第３四半期","",""
10,"中古マンション等","","13101","東京都","千代田区","内神田","大手町(東京)","5",120000000,"","３ＬＤＫ","70",,"","","","平成31年","ＲＣ","","住宅","","",,"商業地域",80,600,"2021年第３四半期","未改装",""
11,"中古マンション等","","13101","東京都","千代田区","内神田","小川町(東京)","4",72000000,"","２ＤＫ","55",,"","","","平成25年","ＲＣ","","住宅","","",,"商業地域",80,800,"2021年第３四半期","未改装",""
12,"中古マンション等","","13101","東京都","千代田区","神田和泉町","浅草橋","6",57000000,"","２ＬＤＫ","50",,"","","","平成12年","ＲＣ","","住宅","","",,"商業地域",80,600,"2021年第３四半期","改装済",""
13,"中古マンション等","","13101","東京都","千代田区","神田神保町","神保町","1",77000000,"","２ＬＤＫ","50",,"","","","平成17年","ＲＣ","","住宅","","",,"商業地域",80,600,"2021年第３四半期","改装済",""
14,"宅地(土地と建物)","商業地","13101","東京都","千代田区","神田駿河台","新御茶ノ水","0",930000000,"","","115",,"ほぼ台形","16.1","690","平成14年","鉄骨造","事務所、店舗","事務所","西","都道",27.0,"商業地域",80,600,"2021年第３四半期","",""
15,"中古マンション等","","13101","東京都","千代田区","神田錦町","小川町(東京)","4",26000000,"","１Ｋ","20",,"","","","平成15年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","",""
16,"中古マンション等","","13101","東京都","千代田区","神田錦町","小川町(東京)","5",84000000,"","２ＬＤＫ","55",,"","","","平成30年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","未改装",""
17,"宅地(土地と建物)","商業地","13101","東京都","千代田区","神田練塀町","秋葉原","3",1700000000,"","","230",,"ほぼ正方形","15.0","980","昭和42年","ＲＣ","住宅、店舗","店舗","南","区道",8.0,"商業地域",80,800,"2021年第３四半期","",""
18,"中古マンション等","","13101","東京都","千代田区","神田三崎町","水道橋","3",25000000,"","１ＤＫ","30",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
19,"宅地(土地と建物)","商業地","13101","東京都","千代田区","神田美土代町","小川町(東京)","2",45000000,"","","45",,"ほぼ長方形","5.0","75","昭和49年","鉄骨造","住宅、駐車場","その他","西","区道",4.0,"商業地域",80,600,"2021年第３四半期","","私道を含む取引"
20,"中古マンション等","","13101","東京都","千代田区","九段北","九段下","1",97000000,"","オープンフロア","90",,"","","","昭和55年","ＳＲＣ","","店舗","","",,"商業地域",80,500,"2021年第３四半期","改装済",""
21,"中古マンション等","","13101","東京都","千代田区","九段南","市ケ谷","7",25000000,"","１Ｋ","20",,"","","","平成15年","ＳＲＣ","","住宅","","",,"商業地域",80,700,"2021年第３四半期","未改装",""
22,"中古マンション等","","13101","東京都","千代田区","九段南","市ケ谷","2",100000000,"","２ＬＤＫ","55",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","改装済",""
23,"中古マンション等","","13101","東京都","千代田区","外神田","御茶ノ水","4",28000000,"","１Ｋ","20",,"","","","平成16年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
24,"中古マンション等","","13101","東京都","千代田区","外神田","末広町(東京)","4",58000000,"","２ＬＤＫ","45",,"","","","平成10年","ＳＲＣ","","住宅","","",,"商業地域",80,600,"2021年第３四半期","改装済",""
25,"中古マンション等","","13101","東京都","千代田区","東神田","浅草橋","4",13000000,"","１Ｒ","25",,"","","","昭和55年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","",""
26,"中古マンション等","","13101","東京都","千代田区","東神田","浅草橋","1",110000000,"","３ＬＤＫ","70",,"","","","平成27年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","改装済",""
27,"中古マンション等","","13101","東京都","千代田区","平河町","麹町","4",110000000,"","２ＤＫ","95",,"","","","昭和54年","ＳＲＣ","","住宅","","",,"第２種住居地域",60,400,"2021年第３四半期","改装済",""
28,"中古マンション等","","13102","東京都","中央区","入船","新富町(東京)","2",25000000,"","１Ｋ","20",,"","","","平成15年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,700,"2021年第３四半期","未改装",""
29,"中古マンション等","","13102","東京都","中央区","勝どき","勝どき","6",150000000,"","３ＬＤＫ","110",,"","","","平成20年","ＲＣ","","住宅","","",,"商業地域",80,500,"2021年第３四半期","",""
30,"中古マンション等","","13102","東京都","中央区","勝どき","勝どき","6",83000000,"","２ＬＤＫ","65",,"","","","平成28年","ＲＣ","","住宅","","",,"第１種住居地域",60,400,"2021年第３四半期","未改装",""
31,"中古マンション等","","13102","東京都","中央区","勝どき","勝どき","5",29000000,"","１Ｋ","20",,"","","","平成14年","ＲＣ","住宅","その他","","",,"第２種住居地域",80,400,"2021年第３四半期","未改装",""
32,"中古マンション等","","13102","東京都","中央区","勝どき","勝どき","4",27000000,"","１Ｋ","20",,"","","","平成20年","ＲＣ","","住宅","","",,"第２種住居地域",80,400,"2021年第３四半期","改装済",""
33,"中古マンション等","","13102","東京都","中央区","勝どき","勝どき","5",43000000,"","２ＬＤＫ","50",,"","","","昭和55年","ＳＲＣ","","住宅","","",,"第２種住居地域",80,400,"2021年第３四半期","改装済",""
34,"中古マンション等","","13102","東京都","中央区","勝どき","勝どき","0",17000000,"","","20",,"","","","昭和56年","ＳＲＣ","","","","",,"商業地域",80,600,"2021年第３四半期","",""
35,"中古マンション等","","13102","東京都","中央区","勝どき","勝どき","6",64000000,"","２ＬＤＫ","60",,"","","","平成20年","ＲＣ","","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
36,"中古マンション等","","13102","東京都","中央区","勝どき","勝どき","6",87000000,"","３ＬＤＫ","75",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
37,"中古マンション等","","13102","東京都","中央区","銀座","築地市場","3",57000000,"","１ＬＤＫ","35",,"","","","平成28年","ＲＣ","住宅","住宅","","",,"商業地域",80,700,"2021年第３四半期","未改装",""
38,"中古マンション等","","13102","東京都","中央区","銀座","築地市場","3",34000000,"","１Ｋ","20",,"","","","平成16年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,700,"2021年第３四半期","未改装",""
39,"宅地(土地と建物)","商業地","13102","東京都","中央区","新川","茅場町","4",340000000,"","","110",,"ほぼ長方形","8.7","50","平成4年","鉄骨造","駐車場、その他","住宅","南西","区道",8.0,"商業地域",80,500,"2021年第３四半期","",""
40,"宅地(土地)","商業地","13102","東京都","中央区","新川","茅場町","4",570000000,"9800000","","190",3000000,"ほぼ長方形","13.0","","","","","事務所","北東","区道",8.0,"商業地域",80,700,"2021年第３四半期","",""
41,"中古マンション等","","13102","東京都","中央区","新川","茅場町","8",14000000,"","１Ｋ","20",,"","","","昭和49年","ＳＲＣ","住宅","","","",,"商業地域",80,700,"2021年第３四半期","未改装",""
42,"宅地(土地と建物)","商業地","13102","東京都","中央区","新川","八丁堀(東京)","4",810000000,"","","110",,"ほぼ長方形","9.3","570","令和3年","ＲＣ","事務所、店舗","事務所","南東","区道",6.0,"商業地域",80,500,"2021年第３四半期","",""
43,"中古マンション等","","13102","東京都","中央区","新川","八丁堀(東京)","7",73000000,"","２ＬＤＫ","60",,"","","","平成9年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","改装済",""
44,"中古マンション等","","13102","東京都","中央区","新川","八丁堀(東京)","4",45000000,"","１ＬＤＫ","40",,"","","","平成18年","ＲＣ","住宅","事務所","","",,"商業地域",80,500,"2021年第３四半期","改装済",""
45,"中古マンション等","","13102","東京都","中央区","新川","八丁堀(東京)","8",40000000,"","３ＬＤＫ","65",,"","","","平成13年","ＳＲＣ","","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
46,"中古マンション等","","13102","東京都","中央区","新川","八丁堀(東京)","4",5000000,"","１Ｋ","10",,"","","","昭和49年","ＳＲＣ","住宅","事務所","","",,"商業地域",80,700,"2021年第３四半期","未改装",""
47,"中古マンション等","","13102","東京都","中央区","新川","八丁堀(東京)","5",33000000,"","１Ｋ","35",,"","","","昭和56年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","改装済",""
48,"中古マンション等","","13102","東京都","中央区","新川","八丁堀(東京)","1",13000000,"","１Ｋ","10",,"","","","昭和49年","ＳＲＣ","","住宅","","",,"商業地域",80,700,"2021年第３四半期","改装済",""
49,"中古マンション等","","13102","東京都","中央区","新川","八丁堀(東京)","4",71000000,"","３ＬＤＫ","70",,"","","","平成13年","ＳＲＣ","","","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
50,"中古マンション等","","13102","東京都","中央区","新富","新富町(東京)","3",73000000,"","２ＬＤＫ","55",,"","","","平成25年","ＲＣ","","住宅","","",,"商業地域",80,600,"2021年第３四半期","未改装",""
51,"中古マンション等","","13102","東京都","中央区","築地","新富町(東京)","2",90000000,"","３ＬＤＫ","80",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","未改装",""
52,"中古マンション等","","13102","東京都","中央区","築地","新富町(東京)","1",27000000,"","１Ｋ","20",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","未改装",""
53,"中古マンション等","","13102","東京都","中央区","築地","築地","5",32000000,"","１Ｋ","20",,"","","","平成19年","ＲＣ","住宅","","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
54,"中古マンション等","","13102","東京都","中央区","築地","築地","4",25000000,"","１Ｋ","20",,"","","","平成15年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","",""
55,"中古マンション等","","13102","東京都","中央区","月島","勝どき","6",17000000,"","１Ｋ","15",,"","","","平成8年","ＲＣ","住宅","住宅","","",,"第２種住居地域",80,400,"2021年第３四半期","未改装",""
56,"中古マンション等","","13102","東京都","中央区","月島","勝どき","4",25000000,"","１Ｋ","20",,"","","","平成15年","ＳＲＣ","","その他","","",,"商業地域",80,600,"2021年第３四半期","改装済",""
57,"宅地(土地)","住宅地","13102","東京都","中央区","月島","月島","3",54000000,"3100000","","60",930000,"ほぼ長方形","6.0","","","","","住宅","北東","私道",2.7,"第２種住居地域",80,400,"2021年第３四半期","","私道を含む取引"
58,"中古マンション等","","13102","東京都","中央区","月島","月島","2",26000000,"","１Ｋ","20",,"","","","平成14年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","未改装",""
59,"中古マンション等","","13102","東京都","中央区","佃","月島","9",120000000,"","２ＬＤＫ","80",,"","","","平成11年","ＳＲＣ","","","","",,"商業地域",80,600,"2021年第３四半期","未改装",""
60,"中古マンション等","","13102","東京都","中央区","佃","月島","9",170000000,"","２ＬＤＫ","105",,"","","","平成11年","ＳＲＣ","","住宅","","",,"商業地域",80,600,"2021年第３四半期","改装済",""
61,"中古マンション等","","13102","東京都","中央区","佃","月島","3",43000000,"","","45",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"2021年第３四半期","未改装",""
62,"中古マンション等","","13102","東京都","中央区","佃","月島","1",73000000,"","３ＬＤＫ","65",,"","","","平成16年","ＲＣ","","住宅","","",,"第２種住居地域",80,400,"2021年第３四半期","未改装",""
63,"中古マンション等","","13102","東京都","中央区","日本橋大伝馬町","小伝馬町","2",27000000,"","","25",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","",""
64,"中古マンション等","","13102","東京都","中央区","日本橋大伝馬町","馬喰横山","3",44000000,"","１ＬＤＫ","40",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","",""
65,"宅地(土地と建物)","商業地","13102","東京都","中央区","日本橋蛎殻町","水天宮前","3",500000000,"","","75",,"ほぼ長方形","5.4","400","令和2年","ＲＣ","共同住宅、店舗","住宅","北西","区道",11.0,"商業地域",80,500,"2021年第３四半期","",""
66,"中古マンション等","","13102","東京都","中央区","日本橋蛎殻町","水天宮前","4",36000000,"","１Ｋ","25",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","",""
67,"中古マンション等","","13102","東京都","中央区","日本橋蛎殻町","水天宮前","3",24000000,"","１Ｋ","20",,"","","","平成17年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","改装済",""
68,"中古マンション等","","13102","東京都","中央区","日本橋蛎殻町","水天宮前","2",88000000,"","３ＬＤＫ","65",,"","","","平成27年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
69,"中古マンション等","","13102","東京都","中央区","日本橋蛎殻町","水天宮前","2",20000000,"","１Ｋ","20",,"","","","平成16年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
70,"中古マンション等","","13102","東京都","中央区","日本橋蛎殻町","水天宮前","2",37000000,"","１ＬＤＫ","35",,"","","","平成9年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
71,"中古マンション等","","13102","東京都","中央区","日本橋蛎殻町","水天宮前","2",22000000,"","１Ｋ","20",,"","","","平成16年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","",""
72,"中古マンション等","","13102","東京都","中央区","日本橋蛎殻町","水天宮前","1",63000000,"","３ＬＤＫ","60",,"","","","平成10年","ＲＣ","住宅","住宅","","",,"商業地域",80,700,"2021年第３四半期","未改装",""
73,"宅地(土地と建物)","商業地","13102","東京都","中央区","日本橋蛎殻町","人形町","4",800000000,"","","135",,"ほぼ長方形","9.7","790","平成3年","ＳＲＣ","事務所","事務所","南西","区道",22.0,"商業地域",80,600,"2021年第３四半期","",""
74,"中古マンション等","","13102","東京都","中央区","日本橋兜町","茅場町","3",34000000,"","１Ｋ","25",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","未改装",""
75,"中古マンション等","","13102","東京都","中央区","日本橋茅場町","茅場町","2",30000000,"","１Ｋ","20",,"","","","平成14年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","未改装",""
76,"中古マンション等","","13102","東京都","中央区","日本橋小舟町","人形町","4",35000000,"","１Ｋ","25",,"","","","平成27年","ＲＣ","","住宅","","",,"商業地域",80,600,"2021年第３四半期","未改装",""
77,"中古マンション等","","13102","東京都","中央区","日本橋富沢町","馬喰横山","3",72000000,"","２ＬＤＫ","60",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","改装済",""
78,"中古マンション等","","13102","東京都","中央区","日本橋中洲","水天宮前","5",8400000,"","オープンフロア","25",,"","","","昭和54年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","改装済",""
79,"中古マンション等","","13102","東京都","中央区","日本橋中洲","水天宮前","4",35000000,"","１ＤＫ","30",,"","","","平成16年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,700,"2021年第３四半期","未改装",""
80,"宅地(土地と建物)","商業地","13102","東京都","中央区","日本橋人形町","人形町","2",50000000,"","","45",,"ほぼ長方形","5.0","55","昭和51年","木造","店舗","店舗","北西","区道",6.0,"商業地域",80,500,"2021年第３四半期","",""
81,"中古マンション等","","13102","東京都","中央区","日本橋人形町","人形町","3",37000000,"","１ＬＤＫ","35",,"","","","平成13年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","未改装",""
82,"中古マンション等","","13102","東京都","中央区","日本橋人形町","人形町","1",44000000,"","１ＬＤＫ","45",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"商業地域",80,700,"2021年第３四半期","未改装",""
83,"中古マンション等","","13102","東京都","中央区","日本橋人形町","人形町","3",73000000,"","２ＬＤＫ","55",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","未改装",""
84,"中古マンション等","","13102","東京都","中央区","日本橋人形町","人形町","1",47000000,"","１ＬＤＫ","40",,"","","","平成20年","ＲＣ","","住宅","","",,"商業地域",80,700,"2021年第３四半期","改装済",""
85,"宅地(土地と建物)","商業地","13102","東京都","中央区","日本橋馬喰町","馬喰町","1",84000000,"","","40",,"長方形","5.0","140","昭和47年","鉄骨造","住宅、店舗","事務所","南東","区道",6.0,"商業地域",80,700,"2021年第３四半期","",""
86,"宅地(土地と建物)","商業地","13102","東京都","中央区","日本橋箱崎町","茅場町","6",100000000,"","","40",,"長方形","5.2","95","平成9年","鉄骨造","住宅、店舗","事務所","北東","区道",11.0,"商業地域",80,500,"2021年第３四半期","",""
87,"宅地(土地と建物)","住宅地","13102","東京都","中央区","日本橋箱崎町","水天宮前","4",1400000000,"","","340",,"不整形","9.0","1700","平成30年","鉄骨造","その他","その他","南西","区道",11.0,"商業地域",80,500,"2021年第３四半期","",""
88,"中古マンション等","","13102","東京都","中央区","日本橋箱崎町","水天宮前","2",73000000,"","３ＬＤＫ","75",,"","","","平成26年","ＲＣ","","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
89,"中古マンション等","","13102","東京都","中央区","日本橋箱崎町","水天宮前","4",23000000,"","１Ｋ","20",,"","","","平成11年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
90,"中古マンション等","","13102","東京都","中央区","日本橋浜町","水天宮前","4",28000000,"","１Ｋ","20",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","",""
91,"中古マンション等","","13102","東京都","中央区","日本橋浜町","浜町","4",46000000,"","１ＬＤＫ","35",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"商業地域",80,700,"2021年第３四半期","未改装",""
92,"中古マンション等","","13102","東京都","中央区","日本橋浜町","浜町","3",23000000,"","１Ｋ","20",,"","","","平成16年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","",""
93,"中古マンション等","","13102","東京都","中央区","日本橋浜町","浜町","6",45000000,"","２ＤＫ","35",,"","","","平成16年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","改装済",""
94,"中古マンション等","","13102","東京都","中央区","日本橋浜町","浜町","2",62000000,"","１ＬＤＫ","55",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"商業地域",80,700,"2021年第３四半期","改装済",""
95,"中古マンション等","","13102","東京都","中央区","日本橋浜町","浜町","6",39000000,"","１ＬＤＫ","40",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","",""
96,"中古マンション等","","13102","東京都","中央区","日本橋浜町","浜町","3",28000000,"","１Ｋ","25",,"","","","平成26年","ＲＣ","住宅","住宅","","",,"商業地域",80,700,"2021年第３四半期","未改装",""
97,"中古マンション等","","13102","東京都","中央区","日本橋浜町","浜町","2",14000000,"","２ＬＤＫ","40",,"","","","昭和49年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,700,"2021年第３四半期","未改装",""
98,"中古マンション等","","13102","東京都","中央区","日本橋浜町","浜町","3",50000000,"","１ＬＤＫ","40",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"商業地域",80,700,"2021年第３四半期","改装済",""
99,"中古マンション等","","13102","東京都","中央区","日本橋浜町","浜町","2",24000000,"","１Ｋ","20",,"","","","平成14年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
100,"中古マンション等","","13102","東京都","中央区","日本橋堀留町","小伝馬町","2",22000000,"","１Ｋ","15",,"","","","平成16年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,700,"2021年第３四半期","未改装",""
101,"宅地(土地と建物)","商業地","13102","東京都","中央区","日本橋堀留町","人形町","5",1100000000,"","","390",,"ほぼ長方形","22.5","1300","平成16年","鉄骨造","事務所","事務所","北東","区道",8.0,"商業地域",80,600,"2021年第３四半期","",""
102,"中古マンション等","","13102","東京都","中央区","日本橋本町","新日本橋","2",44000000,"","１ＬＤＫ","45",,"","","","平成16年","ＲＣ","住宅","その他","","",,"商業地域",80,800,"2021年第３四半期","未改装",""
103,"中古マンション等","","13102","東京都","中央区","日本橋本町","新日本橋","1",81000000,"","２ＬＤＫ＋Ｓ","55",,"","","","平成26年","ＲＣ","住宅","住宅","","",,"商業地域",80,800,"2021年第３四半期","未改装",""
104,"宅地(土地と建物)","商業地","13102","東京都","中央区","日本橋室町","新日本橋","2",77000000,"","","70",,"ほぼ整形","7.5","125","昭和58年","鉄骨造","住宅、事務所","事務所","南東","私道",2.7,"商業地域",80,600,"2021年第３四半期","","私道を含む取引"
105,"中古マンション等","","13102","東京都","中央区","晴海","勝どき","13",63000000,"","３ＬＤＫ","65",,"","","","平成21年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
106,"中古マンション等","","13102","東京都","中央区","晴海","勝どき","9",53000000,"","２ＬＤＫ","65",,"","","","平成10年","鉄骨造","住宅","住宅","","",,"第１種住居地域",80,400,"2021年第３四半期","",""
107,"中古マンション等","","13102","東京都","中央区","晴海","勝どき","10",62000000,"","２ＬＤＫ","55",,"","","","平成27年","ＲＣ","住宅","住宅","","",,"準工業地域",60,400,"2021年第３四半期","未改装",""
108,"中古マンション等","","13102","東京都","中央区","晴海","勝どき","10",50000000,"","１Ｒ","30",,"","","","平成27年","ＲＣ","住宅、事務所","住宅","","",,"準工業地域",60,400,"2021年第３四半期","",""
109,"中古マンション等","","13102","東京都","中央区","晴海","勝どき","11",63000000,"","２ＬＤＫ","55",,"","","","平成27年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,400,"2021年第３四半期","未改装",""
110,"中古マンション等","","13102","東京都","中央区","晴海","勝どき","11",66000000,"","２ＬＤＫ","55",,"","","","平成27年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,400,"2021年第３四半期","",""
111,"中古マンション等","","13102","東京都","中央区","晴海","勝どき","9",94000000,"","２ＬＤＫ","90",,"","","","平成10年","鉄骨造","住宅","住宅","","",,"第１種住居地域",80,400,"2021年第３四半期","未改装",""
112,"中古マンション等","","13102","東京都","中央区","晴海","勝どき","11",80000000,"","３ＬＤＫ","70",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"準工業地域",60,400,"2021年第３四半期","未改装",""
113,"中古マンション等","","13102","東京都","中央区","晴海","月島","12",82000000,"","","70",,"","","","平成31年","ＲＣ","住宅","住宅","","",,"準工業地域",60,400,"2021年第３四半期","",""
114,"中古マンション等","","13102","東京都","中央区","東日本橋","馬喰町","3",32000000,"","１Ｋ","25",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"商業地域",80,700,"2021年第３四半期","改装済",""
115,"中古マンション等","","13102","東京都","中央区","東日本橋","馬喰横山","1",45000000,"","１ＬＤＫ","35",,"","","","平成16年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第３四半期","改装済",""
116,"中古マンション等","","13102","東京都","中央区","東日本橋","東日本橋","1",49000000,"","１ＬＤＫ","40",,"","","","平成15年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,700,"2021年第３四半期","未改装",""
117,"中古マンション等","","13102","東京都","中央区","湊","新富町(東京)","6",39000000,"","１ＤＫ","35",,"","","","平成17年","ＲＣ","","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
118,"中古マンション等","","13102","東京都","中央区","湊","八丁堀(東京)","6",120000000,"","３ＬＤＫ","70",,"","","","平成31年","ＲＣ","","住宅","","",,"商業地域",80,500,"2021年第３四半期","未改装",""
119,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","8",41000000,"","１ＬＤＫ","50",,"","","","昭和52年","ＲＣ","住宅","事務所","","",,"第２種中高層住居専用地域",60,300,"2021年第３四半期","未改装",""
120,"宅地(土地)","商業地","13103","東京都","港区","赤坂","赤坂(東京)","1",1300000000,"34000000","","125",10000000,"長方形","7.5","","","","","その他","南東","都道",15.0,"商業地域",80,600,"2021年第３四半期","",""
121,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","5",240000000,"","３ＬＤＫ","100",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第３四半期","改装済",""
122,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","1",77000000,"","２ＬＤＫ","50",,"","","","平成11年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"2021年第３四半期","改装済",""
123,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","6",15000000,"","１Ｋ","20",,"","","","昭和46年","ＲＣ","住宅","事務所","","",,"近隣商業地域",80,300,"2021年第３四半期","改装済",""
124,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","6",120000000,"","２ＬＤＫ","55",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"2021年第３四半期","改装済",""
125,"中古マンション等","","13103","東京都","港区","赤坂","赤坂見附","6",150000000,"","３ＬＤＫ","75",,"","","","平成27年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"2021年第３四半期","未改装",""
126,"中古マンション等","","13103","東京都","港区","赤坂","乃木坂","6",21000000,"","１ＤＫ","25",,"","","","昭和55年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2021年第３四半期","未改装",""
