"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
9757,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺南町","吉祥寺","6",18000000,"","１ＤＫ","25",,"","","","昭和59年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2021年第３四半期","未改装",""
9758,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺南町","吉祥寺","5",62000000,"","","60",,"","","","平成12年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2021年第３四半期","未改装",""
9759,"宅地(土地と建物)","住宅地","13213","東京都","東村山市","萩山町","久米川","7",48000000,"","","105",,"不整形","8.5","95","令和3年","木造","住宅","住宅","北西","市道",7.2,"第１種中高層住居専用地域",60,200,"2021年第３四半期","",""
9760,"宅地(土地)","住宅地","13213","東京都","東村山市","萩山町","萩山","3",64000000,"800000","","260",240000,"ほぼ長方形","12.5","","","","","住宅","北","市道",7.3,"第１種中高層住居専用地域",60,200,"2021年第３四半期","",""
9761,"中古マンション等","","13213","東京都","東村山市","萩山町","萩山","3",15000000,"","３ＬＤＫ","55",,"","","","平成7年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2021年第３四半期","",""
9762,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺南町","三鷹台","5",68000000,"","","85",,"長方形","8.0","65","令和3年","木造","住宅","住宅","南東","私道",4.0,"第１種低層住居専用地域",40,80,"2021年第３四半期","",""
9763,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺南町","三鷹台","10",23000000,"","１Ｋ","25",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2021年第３四半期","未改装",""
9764,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","境南町","武蔵境","8",80000000,"","","170",,"長方形","11.8","125","","ＲＣ、木造","住宅","住宅","東","私道",4.5,"第１種低層住居専用地域",40,80,"2021年第４四半期","",""
9765,"中古マンション等","","13203","東京都","武蔵野市","境南町","武蔵境","7",100000000,"","オープンフロア","75",,"","","","","ＳＲＣ","店舗","店舗","","",,"商業地域",80,500,"2021年第４四半期","",""
9766,"中古マンション等","","13203","東京都","武蔵野市","境南町","武蔵境","6",56000000,"","３ＬＤＫ","70",,"","","","平成12年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2021年第４四半期","未改装",""
9767,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","境南町","武蔵境","11",340000000,"","","170",,"ほぼ整形","10.2","430","平成31年","ＲＣ","共同住宅、店舗","住宅","東","都道",16.0,"近隣商業地域",80,200,"2021年第３四半期","",""
9768,"中古マンション等","","13203","東京都","武蔵野市","境南町","武蔵境","11",56000000,"","３ＬＤＫ","70",,"","","","平成7年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2021年第３四半期","未改装",""
9769,"中古マンション等","","13203","東京都","武蔵野市","境南町","武蔵境","7",31000000,"","３ＬＤＫ","65",,"","","","昭和52年","ＳＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2021年第３四半期","",""
9770,"中古マンション等","","13213","東京都","東村山市","富士見町","小川(東京)","16",18000000,"","３ＬＤＫ","75",,"","","","平成11年","ＳＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2021年第３四半期","未改装",""
9771,"中古マンション等","","13213","東京都","東村山市","富士見町","小川(東京)","15",24000000,"","３ＬＤＫ","75",,"","","","平成11年","ＳＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2021年第３四半期","未改装",""
9772,"中古マンション等","","13213","東京都","東村山市","富士見町","小川(東京)","16",36000000,"","４ＬＤＫ","100",,"","","","平成10年","ＳＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2021年第３四半期","改装済",""
9773,"宅地(土地と建物)","住宅地","13213","東京都","東村山市","富士見町","久米川","26",15000000,"","","70",,"ほぼ正方形","8.0","75","平成9年","木造","住宅","住宅","南","市道",4.0,"第１種低層住居専用地域",40,80,"2021年第３四半期","","私道を含む取引"
9774,"中古マンション等","","13203","東京都","武蔵野市","御殿山","吉祥寺","10",94000000,"","３ＬＤＫ","75",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",50,100,"2021年第４四半期","未改装",""
9775,"中古マンション等","","13203","東京都","武蔵野市","御殿山","吉祥寺","7",72000000,"","３ＬＤＫ","70",,"","","","","ＲＣ","住宅","","","",,"近隣商業地域",80,300,"2021年第３四半期","",""
9776,"宅地(土地と建物)","住宅地","13213","東京都","東村山市","富士見町","八坂(東京)","5",39000000,"","","125",,"長方形","9.1","100","令和3年","木造","住宅","住宅","東","私道",4.0,"近隣商業地域",80,200,"2021年第３四半期","",""
9777,"宅地(土地と建物)","住宅地","13213","東京都","東村山市","富士見町","八坂(東京)","10",39000000,"","","100",,"長方形","7.5","105","平成23年","木造","住宅","住宅","南","私道",5.0,"第１種中高層住居専用地域",60,200,"2021年第３四半期","",""
9778,"中古マンション等","","13203","東京都","武蔵野市","御殿山","三鷹","8",80000000,"","２ＬＤＫ","70",,"","","","","","住宅","住宅","","",,"",,,"2021年第４四半期","未改装",""
9779,"宅地(土地)","住宅地","13203","東京都","武蔵野市","境","武蔵境","7",91000000,"1500000","","200",450000,"袋地等","","","","","","住宅","東","市道",4.2,"第１種低層住居専用地域",50,100,"2021年第４四半期","",""
9780,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","境","武蔵境","6",50000000,"","","200",,"袋地等","3.0","170","","木造","住宅","住宅","東","市道",4.0,"第１種低層住居専用地域",50,100,"2021年第４四半期","",""
9781,"中古マンション等","","13203","東京都","武蔵野市","境","武蔵境","9",65000000,"","２ＬＤＫ","60",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2021年第４四半期","改装済",""
9782,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","境","武蔵境","9",81000000,"","","110",,"長方形","5.0","100","令和3年","木造","住宅","住宅","北","市道",4.0,"第１種中高層住居専用地域",60,200,"2021年第３四半期","",""
9783,"中古マンション等","","13203","東京都","武蔵野市","境","武蔵境","9",51000000,"","２ＬＤＫ","60",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2021年第３四半期","未改装",""
9784,"宅地(土地と建物)","住宅地","13213","東京都","東村山市","美住町","久米川","18",28000000,"","","70",,"ほぼ長方形","5.2","70","平成19年","木造","住宅","住宅","北","市道",4.5,"第１種中高層住居専用地域",60,200,"2021年第３四半期","",""
9785,"宅地(土地と建物)","住宅地","13213","東京都","東村山市","美住町","久米川","13",38000000,"","","110",,"不整形","2.5","90","令和3年","木造","住宅","住宅","東","市道",6.0,"第１種低層住居専用地域",40,80,"2021年第３四半期","",""
9786,"中古マンション等","","13203","東京都","武蔵野市","桜堤","東小金井","25",60000000,"","３ＬＤＫ","75",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2021年第４四半期","未改装",""
9787,"中古マンション等","","13203","東京都","武蔵野市","桜堤","東小金井","15",52000000,"","３ＬＤＫ","75",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2021年第３四半期","未改装",""
9788,"宅地(土地と建物)","住宅地","13213","東京都","東村山市","美住町","東村山","9",43000000,"","","100",,"ほぼ長方形","","95","令和3年","木造","住宅","住宅","南","私道",4.5,"第１種中高層住居専用地域",60,200,"2021年第３四半期","",""
